province,province_id,district,district_id,ward,ward_id,ward_level,area,pop_density,population,children_0_14,female_15_54,male_15_59,elders,no_household,no_household_w_home
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Phuc Xa,1,Phuong,0.894,24.562,"21,946","1,238","7,796","8,321","4,591","5,863","5,855"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Truc Bach,4,Phuong,0.506,13.962,"7,065",320,"2,301","2,475","1,969","1,948","1,948"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Vinh Phuc,6,Phuong,0.715,33.376,"23,867","1,486","8,557","8,997","4,827","6,314","6,298"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Cong Vi,7,Phuong,0.538,29.723,"15,979",856,"5,577","5,983","3,563","4,357","4,349"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Lieu Giai,8,Phuong,0.681,30.974,"21,084","1,153","7,400","7,819","4,712","5,639","5,637"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Nguyen Trung Truc,10,Phuong,0.161,47.739,"7,705",377,"2,651","2,661","2,016","2,127","2,127"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Quan Thanh,13,Phuong,0.778,10.188,"7,923",351,"2,404","2,918","2,250","2,078","2,076"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Ngoc Ha,16,Phuong,0.824,23.483,"19,357",944,"6,784","7,129","4,500","5,257","5,214"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Dien Bien,19,Phuong,0.942,9.464,"8,912",416,"2,907","3,097","2,492","2,463","2,458"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Doi Can,22,Phuong,0.405,35.503,"14,375",714,"4,939","5,091","3,631","3,812","3,806"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Ngoc Khanh,25,Phuong,1.016,20.038,"20,363","1,101","7,384","7,398","4,480","5,847","5,839"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Kim Ma,28,Phuong,0.486,29.327,"14,259",694,"5,039","5,142","3,384","4,029","4,018"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Giang Vo,31,Phuong,0.62,28.497,"17,665",829,"6,440","6,609","3,787","5,183","5,182"
Thanh pho Ha Noi,1,Quan Ba Dinh,1,Phuong Thanh Cong,34,Phuong,0.642,33.302,"21,393","1,145","7,898","7,862","4,488","6,342","6,323"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Phuc Tan,37,Phuong,0.76,22.179,"16,856","3,331","4,966","5,531","3,028","4,638","4,628"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Dong Xuan,40,Phuong,0.17,55.288,"9,399","1,639","2,735","2,774","2,251","2,402","2,400"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Ma,43,Phuong,0.15,46.473,"6,971","1,195","1,836","1,962","1,978","1,836","1,834"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Buom,46,Phuong,0.13,41.285,"5,367",895,"1,400","1,577","1,495","1,531","1,529"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Dao,49,Phuong,0.07,77.043,"5,393",863,"1,499","1,530","1,501","1,553","1,553"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Bo,52,Phuong,0.09,58.256,"5,243",916,"1,447","1,444","1,436","1,480","1,476"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Cua Dong,55,Phuong,0.14,44.071,"6,170","1,002","1,668","1,823","1,677","1,802","1,799"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Ly Thai To,58,Phuong,0.23,22.4,"5,152",950,"1,410","1,492","1,300","1,391","1,389"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Bac,61,Phuong,0.09,57.711,"5,194",776,"1,458","1,608","1,352","1,372","1,346"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Gai,64,Phuong,0.09,64.3,"5,787",979,"1,584","1,636","1,588","1,587","1,586"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Chuong Duong,67,Phuong,1.017,22.562,"22,946","4,547","6,669","7,048","4,682","6,554","6,518"
Thanh pho Ha Noi,1,Quan Hoan Kiem,2,Phuong Hang Trong,70,Phuong,0.35,15.783,"5,524",967,"1,464","1,589","1,504","1,397","1,393"
